Id;Namn;Latitud;Longitud;Höjd (m);Aktiv
188800;Abisko;68.3538;18.8166;393.38;Ja
188790;Abisko Aut;68.3538;18.8164;392.303;Ja
158990;Abraur;65.9857;18.9195;368.079;Ja
97280;Adelsö A;59.3579;17.5213;5.612;Ja
134590;Almdalen;63.9967;14.6701;615;Ja
167710;Arjeplog A;66.0513;17.8396;430.839;Ja
159880;Arvidsjaur A;65.5941;19.2642;382.45;Ja
92410;Arvika A;59.6743;12.6354;65.758;Ja
106070;Avesta;60.1413;16.1715;99.043;Ja
84340;Axstål Mo;58.571;14.557;88.5;Ja
62180;Barkåkra;56.2979;12.8441;18;Ja
74080;Berg;57.121;14.6931;250;Ja
98040;Berga Mo;59.068;18.115;4.3;Ja
151280;Bjuröklubb A;64.4799;21.5754;35.41;Ja
178820;Björkudden;67.3956;18.7156;376;Ja
92130;Blomskog A;59.2213;12.0754;169.645;Ja
132110;Blåhammaren A;63.1854;12.1734;1086.952;Ja
161940;Boden Mo;65.814;21.635;25.2;Ja
54300;Bollerup;55.4926;14.0395;57.568;Ja
105260;Borlänge Flygplats;60.4294;15.5079;152;Ja
72450;Borås;57.7611;12.9493;135;Ja
106040;Brovallen;60.0989;16.3026;100.154;Ja
127130;Brämön A;62.2198;17.739;18.13;Ja
157870;Buresjön A;65.558;17.8554;394.05;Ja
123460;Börtnan A;62.7548;13.8427;467.246;Ja
94390;Daglösen A;59.6612;14.1803;133.077;Ja
116490;Delsbo A;61.8264;16.5385;70.667;Ja
123060;Dravagen A;62.0936;13.6086;566.642;Ja
132590;Edevik;63.9812;12.8709;425;Ja
115220;Edsbyn A;61.3607;15.7144;183.648;Ja
107440;Eggegrund A;60.7298;17.5584;3.731;Ja
97370;Enköping Mo;59.65;17.12;24.6;Ja
96190;Eskilstuna A;59.3821;16.4526;12.577;Ja
181970;Esrange;67.8907;21.0832;320.617;Ja
52230;Falsterbo;55.3837;12.8167;1.541;Ja
52240;Falsterbo A;55.3837;12.8166;1.575;Ja
105370;Falun-Lugnet;60.6185;15.6574;161.395;Ja
107140;Film A;60.2358;17.9043;33.381;Ja
96040;Floda A;59.0558;16.3944;31.337;Ja
137080;Forse;63.1461;17.0223;125.604;Ja
148040;Fredrika A;64.0744;18.3619;327.684;Ja
104090;Fredriksberg;60.1417;14.3909;304.749;Ja
134110;Frösön;63.1974;14.4863;376;Ja
78550;Fårösund Ar A;57.9165;18.9533;12.756;Ja
134410;Föllinge A;63.6761;14.6048;361.8;Ja
82110;Gendalen;58.1582;12.6448;87.63;Ja
155790;Gielas A;65.3269;15.0645;578.328;Ja
76420;Gladhammar A;57.7068;16.4526;35.277;Ja
159770;Glommersträsk;65.2764;19.6839;394.387;Ja
89230;Gotska Sandön A;58.3939;19.194;15.911;Ja
145130;Gubbhögen A;64.2172;15.5529;310.221;Ja
147560;Gunnarn A;65.0094;17.6993;275.491;Ja
103090;Gustavsfors;60.1514;13.7975;190;Ja
103100;Gustavsfors A;60.1533;13.799;187.153;Ja
144310;Gäddede A;64.5044;14.2207;553.025;Ja
180760;Gällivare A;67.1407;20.6413;358.975;Ja
107420;Gävle A;60.7161;17.1607;16.125;Ja
84520;Gårdsjö A;58.8768;14.3875;210.675;Ja
71420;Göteborg A;57.7156;11.9924;3.038;Ja
74180;Hagshult Mo;57.292;14.137;169.6;Ja
62260;Hallands Väderö A;56.4496;12.5453;9.172;Ja
135460;Hallhåxåsen A;63.7685;15.3279;375.391;Ja
114410;Hamra A;61.6599;14.9918;453.588;Ja
64020;Hanö A;56.0135;14.8463;58.622;Ja
163960;Haparanda A;65.8237;24.1112;13.243;Ja
87140;Harstena A;58.2505;17.0106;14;Ja
123340;Hedeviken;62.4112;13.6748;410;Ja
62040;Helsingborg A;56.0304;12.7653;43;Ja
155970;Hemavan Flygplats;65.8077;15.0854;458;Ja
155960;Hemavan-Gierevarto A;65.7813;15.0623;793.504;Ja
138390;Hemling A;63.6503;18.5466;182.186;Ja
78140;Hemse;57.2437;18.3788;22.072;Ja
73230;Hestra D;57.4669;13.6319;220;Ja
68560;Hoburg A;56.9209;18.1506;34.118;Ja
