Id;Namn;Latitud;Longitud;Höjd (m);Aktiv
105285;Borlänge Sol;60.4878;15.4297;168;Ja
71415;Göteborg Sol;57.6879;11.9796;84.824;Ja
68545;Hoburg Sol;56.921;18.1506;36;Ja
65075;Karlskrona Sol;56.1091;15.587;10;Ja
93235;Karlstad Sol;59.3591;13.4719;46;Ja
180025;Kiruna Sol;67.8406;20.4106;424;Ja
162015;Luleå Sol;65.5436;22.1113;26;Ja
53445;Lund Sol;55.7138;13.2124;90;Ja
81525;Nordkoster Sol;58.892;11.0039;33;Ja
86655;Norrköping Sol;58.5824;16.1485;53;Ja
98735;Stockholm Sol;59.3534;18.0634;41;Ja
132165;Storlien-Visjövalen Sol;63.3017;12.124;646;Ja
99275;Svenska Högarna Sol;59.4422;19.502;11.688;Ja
178985;Tarfala Sol;67.9123;18.6101;1144;Ja
140615;Umeå Sol;63.8111;20.2398;23;Ja
78645;Visby Sol;57.6727;18.3448;55;Ja
64565;Växjö Sol;56.9269;14.7305;182;Ja
77215;Ölands norra udde Sol;57.3673;17.0987;2;Ja
134615;Östersund Sol;63.197;14.4798;372;Ja
